Log for:/Users/peak/polybox/Study/FHNW/FHNW/ipg/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2024-11-08T18:00:47Z
#=#=#=#=# Propagation starts 2024-11-08T18:00:57Z (last step: 10133 msec , total: 10133 msec) 
2024-11-08T18:01:45+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/02 - IPG - VirtualBox-Basics-5.0.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1677154988 | 7ec8fe75cbb33c230ff3bc9711b7642a | 18585247 | 7906343061oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | fa26ec9c-a465-4b1e-9b24-9db7e0e1d109 | 
2024-11-08T18:02:01+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/03 - IPG - Bash-Einführung-5.1.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1709054224 | ae3d0632e5b3c47fa93023a19fa29c35 | 2718994 | 7906343406oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | c095885f-19e0-463d-9d38-f7fdc289274f | 
2024-11-08T18:02:04+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/04 - IPG - SW-Verwaltung-4.2.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1663921356 | c69296dd800e398ff139a3cc45341834 | 1033563 | 7906343921oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 0d30faa3-664b-40aa-87de-501de8cf9bf6 | 
2024-11-08T18:02:06+00:00 | Lektionen/02. Virtualisierung, Bash, SW-Verwaltung/Erläuterungen zu Cloud Computing-EDÖB.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1680427635 | 6eb4283bf2daf039c4e8eb82b39e7984 | 120264 | 7906343966oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 16d455b0-2678-49f8-bb5e-03e9da5193e0 | 
2024-11-08T18:02:06+00:00 | Lektionen/03. Bash-Vertiefung, Storage, Filesysteme, SSH/Aufgaben/Aufgabe - Filesystem-prüfen-1.0.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1646672609 | 90b7e399d218bc4a17e673516ce6e21c | 42729 | 7929254751oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 5835b3f6-a522-4bc1-8604-02cbf9bc7f30 | 
2024-11-08T18:02:06+00:00 | Lektionen/03. Bash-Vertiefung, Storage, Filesysteme, SSH/Aufgaben/Aufgabe - Festplatten-Partitionen-Auslastung-2.0.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1615109780 | 6272155ae6950dc83eff51fcef4efc11 | 75748 | 7929254771oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | aa1f7a62-f1de-4e6e-83fa-6486b229d645 | 
2024-11-08T18:02:07+00:00 | Lektionen/03. Bash-Vertiefung, Storage, Filesysteme, SSH/Aufgaben/Aufgabe - Umleiten und Piping-1.2.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1691678026 | a1ec8d2d7792710787dcbdd6dfaf6503 | 45690 | 7929254801oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | db814e64-f68a-492b-967b-d392bb61e888 | 
2024-11-08T18:02:07+00:00 | Lektionen/03. Bash-Vertiefung, Storage, Filesysteme, SSH/Aufgaben/Aufgabe - Mounting-1.2.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1647960117 | 75f2e00562b9b961a176d6c881522f64 | 66853 | 7929254796oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 49dc056a-444d-4d36-ae44-8f9599d29899 | 
2024-11-08T18:02:08+00:00 | Lektionen/03. Bash-Vertiefung, Storage, Filesysteme, SSH/Aufgaben/Aufgabe - ssh-einrichten-2.6.pdf | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1691678336 | af9b62117afb4a13a8e8ec8d6b37817f | 149632 | 7929254826oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 52351f42-9433-4441-96ee-530edfc814ed | 
2024-11-08T18:02:09+00:00 | Lektionen/03. Bash-Vertiefung, Storage, Filesysteme, SSH/Videos/Linux-EinlesenAusDaten.mp4 | CSyncEnums::CSYNC_INSTRUCTION_NEW | OCC::SyncFileItem::Down | | 1677408276 | 9c321c2cb0752e32913f66cb728ba287 | 263429 | 7929254861oc641cdd42e0 | OCC::SyncFileItem::Success |  | 200 | 0 | 0 | 35a4e259-ac91-4b87-ac4c-66f4919b8d0c | 
